razon_social_publicada,tipo_aparente,programa_publicado,programa_interno_csv,archivo_csv,anio,mes,fecha_otorgamiento,fecha_acto,numero_acto,monto_maximo_programa_clp,tipo_financiamiento
ISLA DEL PUELO SPA,empresa/razon social con forma societaria visible,Ruta Digital Kit Digital,Formación Empresarial Ruta Digital,Ruta Digital 2025.csv,2025,agosto,20-08-2025,20-08-2025,CER-D10-015172,1200000.0,subsidio directo
JABONERÍA Y COSMÉTICA NATURAL FLOR DE LOTO SPA,empresa/razon social con forma societaria visible,Mejora Negocios,Mejora Negocios,Mejora Negocios 2025.csv,2025,octubre,08-10-2025,08-10-2025,CER-D801-015299,1500000.0,subsidio/cofinanciamiento de asesoría
JABONERÍA Y COSMÉTICA NATURAL FLOR DE LOTO SPA,empresa/razon social con forma societaria visible,Ruta Digital Kit Digital,Formación Empresarial Ruta Digital,Ruta Digital 2025.csv,2025,agosto,19-08-2025,19-08-2025,CER-D07-015166,1200000.0,subsidio directo
JAVIER ENRIQUE SILVA ÁVILA,persona natural o razon social sin forma societaria visible,Crece,Crece,Crece; Fondo de desarrollo de negocios.csv,2025,agosto,27-08-2025,27-08-2025,CER-D14-015186,5000000.0,subsidio directo
JAVIER ENRIQUE SILVA ÁVILA,persona natural o razon social sin forma societaria visible,Ruta Digital Kit Digital,Formación Empresarial Ruta Digital,Ruta Digital 2025.csv,2025,agosto,27-08-2025,27-08-2025,CER-D14-015186,1200000.0,subsidio directo
JAVIER ENRIQUE SILVA ÁVILA,persona natural o razon social sin forma societaria visible,Ruta Digital Kit Digital,Formación Empresarial Ruta Digital,Ruta Digital 2025.csv,2025,noviembre,27-11-2025,27-11-2025,CER-D14-015430,1200000.0,subsidio directo
JUAN CARLOS DÍAZ ARCE,persona natural o razon social sin forma societaria visible,Crece Sostenible,Crece Sostenible,Crece Sostenible 2025.csv,2025,octubre,20-10-2025,20-10-2025,CER-D06-015338,9000000.0,subsidio directo
JUAN CARLOS DÍAZ ARCE,persona natural o razon social sin forma societaria visible,Negocios Digitales,Negocios Digitales,Negocios Digitales 2025.csv,2025,octubre,08-10-2025,08-10-2025,014-2025,1500000.0,apoyo monetario por componentes
KATALINA VICTORIA PESUTIC SOTOMAYOR,persona natural o razon social sin forma societaria visible,Mejora Negocios,Mejora Negocios,Mejora Negocios 2025.csv,2025,octubre,08-10-2025,08-10-2025,CER-D801-015299,1500000.0,subsidio/cofinanciamiento de asesoría
KATALINA VICTORIA PESUTIC SOTOMAYOR,persona natural o razon social sin forma societaria visible,Negocios Digitales,Negocios Digitales,Negocios Digitales 2025.csv,2025,octubre,08-10-2025,08-10-2025,014-2025,1500000.0,apoyo monetario por componentes
KOHLMET METALÚRGICA LTDA,empresa/razon social con forma societaria visible,Mejora Negocios,Mejora Negocios,Mejora Negocios 2025.csv,2025,octubre,08-10-2025,08-10-2025,CER-D801-015299,1500000.0,subsidio/cofinanciamiento de asesoría
KOHLMET METALÚRGICA LTDA,empresa/razon social con forma societaria visible,Mejora Negocios,Mejora Negocios,Mejora Negocios 2025.csv,2025,octubre,08-10-2025,08-10-2025,CER-D801-015299,1500000.0,subsidio/cofinanciamiento de asesoría
KOHLMET METALÚRGICA LTDA,empresa/razon social con forma societaria visible,Ruta Digital Kit Digital,Formación Empresarial Ruta Digital,Ruta Digital 2025.csv,2025,septiembre,12-09-2025,12-09-2025,CER-D13-015239,1200000.0,subsidio directo
KOONEX CHILE SPA,empresa/razon social con forma societaria visible,Crece Sostenible,Crece Sostenible,Crece Sostenible 2025.csv,2025,noviembre,25-11-2025,25-11-2025,CER-D12-015396,9000000.0,subsidio directo
KOONEX CHILE SPA,empresa/razon social con forma societaria visible,Ruta Digital Kit Digital,Formación Empresarial Ruta Digital,Ruta Digital 2025.csv,2025,septiembre,09-09-2025,09-09-2025,CER-D12-015222,1200000.0,subsidio directo
KREARTE PATRIMONIAL SPA,empresa/razon social con forma societaria visible,Crece Sostenible,Crece Sostenible,Crece Sostenible 2025.csv,2025,octubre,20-10-2025,20-10-2025,CER-D14-015315,9000000.0,subsidio directo
KREARTE PATRIMONIAL SPA,empresa/razon social con forma societaria visible,Ruta Digital Kit Digital,Formación Empresarial Ruta Digital,Ruta Digital 2025.csv,2025,agosto,27-08-2025,27-08-2025,CER-D14-015186,1200000.0,subsidio directo
KREARTE PATRIMONIAL SPA,empresa/razon social con forma societaria visible,Ruta Digital Kit Digital,Formación Empresarial Ruta Digital,Ruta Digital 2025.csv,2025,noviembre,27-11-2025,27-11-2025,CER-D14-015430,1200000.0,subsidio directo
La Otra Romi SpA,empresa/razon social con forma societaria visible,Negocios Digitales,Negocios Digitales,Negocios Digitales 2025.csv,2025,octubre,08-10-2025,08-10-2025,014-2025,1500000.0,apoyo monetario por componentes
LA OTRA ROMI SPA,empresa/razon social con forma societaria visible,Ruta Digital Kit Digital,Formación Empresarial Ruta Digital,Ruta Digital 2025.csv,2025,septiembre,12-09-2025,12-09-2025,CER-D05-015237,1200000.0,subsidio directo
LEONEL ARMANDO BRAVO VALENZUELA,persona natural o razon social sin forma societaria visible,Crece Sostenible,Crece Sostenible,Crece Sostenible 2025.csv,2025,octubre,07-10-2025,07-10-2025,CER-D07-015295,9000000.0,subsidio directo
LEONEL ARMANDO BRAVO VALENZUELA,persona natural o razon social sin forma societaria visible,Ruta Digital Kit Digital,Formación Empresarial Ruta Digital,Ruta Digital 2025.csv,2025,agosto,19-08-2025,19-08-2025,CER-D07-015166,1200000.0,subsidio directo
MAGALY CORTES VARAS,persona natural o razon social sin forma societaria visible,Negocios Digitales,Negocios Digitales,Negocios Digitales 2025.csv,2025,octubre,08-10-2025,08-10-2025,014-2025,1500000.0,apoyo monetario por componentes
MAGALY CORTES VARAS,persona natural o razon social sin forma societaria visible,Ruta Digital Kit Digital,Formación Empresarial Ruta Digital,Ruta Digital 2025.csv,2025,septiembre,08-09-2025,08-09-2025,CER-D04-015221,1200000.0,subsidio directo
